Name,Age,Hometown,Country,Boarded,Destination,Lifeboat,Class,Survive,Title,CountryBin,AgeBin,FamilySize,isAlone,AgeBin_Code,CountryBin_Code,Title_Code
"Carter, Master William Thornton II",11,"Bryn Mawr, Pennsylvania, US",US,Southampton,"Bryn Mawr, Pennsylvania, US",1,1,1,Master,US,minors,7,0,1.0,4.0,4.0
"Case, Mr. Howard Brown",49,"Ascot, Berkshire, England, UK",UK,Southampton,"Rochester, New York, US",0,1,0,Mr,UK,adults,1,1,0.0,3.0,6.0
"Cassebeer, Mrs. Eleanor Genevieve (née Fosdick)",36,"New York, New York, US",US,Cherbourg,New York City,1,1,1,Mrs,US,adults,1,1,0.0,4.0,7.0
"Cavendish, Mr. Tyrell William",36,"London, England, UK",UK,Southampton,New York City,0,1,0,Mr,UK,adults,3,0,0.0,3.0,6.0
"Cavendish, Mrs. Julia Florence (née Siegel)",25,"London, England, UK",UK,Southampton,New York City,1,1,1,Mrs,UK,young adults,3,0,3.0,3.0,7.0
"and maid, Miss Ellen ""Nellie"" Barber",26,"London, England, UK",UK,Southampton,New York City,1,1,1,Miss,UK,young adults,3,0,3.0,3.0,5.0
"Chaffee, Mr. Herbert Fuller",46,"Amenia, North Dakota, US",US,Southampton,"Amenia, North Dakota, US",0,1,0,Mr,US,adults,2,0,0.0,4.0,6.0
"Chaffee, Mrs. Carrie Constance (née Toogood)",47,"Amenia, North Dakota, US",US,Southampton,"Amenia, North Dakota, US",1,1,1,Mrs,US,adults,2,0,0.0,4.0,7.0
"Chambers, Mr. Norman Campbell",27,New York City,US,Southampton,New York City,1,1,1,Mr,US,young adults,2,0,3.0,4.0,6.0
"Chambers, Mrs. Bertha (née Griggs)",32,New York City,US,Southampton,New York City,1,1,1,Mrs,US,adults,2,0,0.0,4.0,7.0
"Cherry, Miss Gladys",30,"London, England, UK",UK,Southampton,"Vancouver, British Columbia, Canada",1,1,1,Miss,UK,young adults,1,1,3.0,3.0,5.0
"Chevré, Mr. Paul Romaine Marie Léonce",45,"Paris, France",France,Cherbourg,"Ottawa, Ontario, Canada",1,1,1,Mr,Other,adults,1,1,0.0,0.0,6.0
"Chibnall, Mrs. Edith Martha Bowerman (née Barber)",48,"St Leonards-on-Sea, East Sussex, England, UK",UK,Southampton,New York City,1,1,1,Mrs,UK,adults,1,1,0.0,3.0,7.0
"Chisholm, Mr. Roderick Robert Crispin[72]",40,"Belfast, Ireland, UK",UK,Belfast,New York City,0,1,0,Mr,UK,adults,1,1,0.0,3.0,6.0
"Clark, Mr. Walter Miller",27,"Los Angeles, California, US",US,Cherbourg,"Los Angeles, California, US",0,1,0,Mr,US,young adults,2,0,3.0,4.0,6.0
"Clark, Mrs. Virginia Estelle (née McDowell)",26,"Los Angeles, California, US",US,Cherbourg,"Los Angeles, California, US",1,1,1,Mrs,US,young adults,2,0,3.0,4.0,7.0
"Clifford, Mr. George Quincy",40,"Stoughton, Massachusetts, US",US,Southampton,"Stoughton, Massachusetts",0,1,0,Mr,US,adults,1,1,0.0,4.0,6.0
"Colley, Mr. Edward Pomeroy",37,"Dublin, Ireland, UK[note 2]",UK,Southampton,"Vancouver, British Columbia, Canada",0,1,0,Mr,UK,adults,1,1,0.0,3.0,6.0
"Compton, Mrs. Mary Eliza (née Ingersoll)",64,"Lakewood, New Jersey, US",US,Cherbourg,"Lakewood, New Jersey, US",1,1,1,Mrs,US,seniors,3,0,2.0,4.0,7.0
"Compton, Miss Sara Rebecca ""Sadie""",39,"Lakewood, New Jersey, US",US,Cherbourg,"Lakewood, New Jersey, US",1,1,1,Miss,US,adults,3,0,0.0,4.0,5.0
"Compton, Mr. Alexander Taylor Jr.",37,"Lakewood, New Jersey, US",US,Cherbourg,"Lakewood, New Jersey, US",0,1,0,Mr,US,adults,3,0,0.0,4.0,6.0
"Cornell, Mrs. Malvina Helen (née Lamson)",55,New York City,US,Southampton,New York City,1,1,1,Mrs,US,seniors,1,1,2.0,4.0,7.0
"Crafton, Mr. John Bertram",59,"Roachdale, Indiana, US",US,Southampton,"Roachdale, Indiana, US",0,1,0,Mr,US,seniors,1,1,2.0,4.0,6.0
"Crosby, Captain Edward",70,"Milwaukee, Wisconsin, US",US,Southampton,"Milwaukee, Wisconsin, US",0,1,0,Captain,US,seniors,3,0,2.0,4.0,0.0
"Crosby, Mrs. Catherine Elizabeth (née Halstead)",64,"Milwaukee, Wisconsin, US",US,Southampton,"Milwaukee, Wisconsin, US",1,1,1,Mrs,US,seniors,3,0,2.0,4.0,7.0
"Crosby, Miss Harriette Rebecca",39,"Milwaukee, Wisconsin, US",US,Southampton,"Milwaukee, Wisconsin, US",1,1,1,Miss,US,adults,3,0,0.0,4.0,5.0
"Cumings, Mr. John Bradley",39,New York City,US,Cherbourg,New York City,0,1,0,Mr,US,adults,2,0,0.0,4.0,6.0
"Cumings, Mrs. Florence Briggs (née Thayer)",35,New York City,US,Cherbourg,New York City,1,1,1,Mrs,US,adults,2,0,0.0,4.0,7.0
"Daly, Mr. Peter Dennis",51,"Lima, Peru",Peru,Southampton,"Lima, Peru",1,1,1,Mr,Other,seniors,1,1,2.0,0.0,6.0
"Daniel, Mr. Robert Williams",27,"Philadelphia, Pennsylvania, US",US,Southampton,"Philadelphia, Pennsylvania, US",1,1,1,Mr,US,young adults,1,1,3.0,4.0,6.0
"Davidson, Mr. Thornton",31,"Montreal, Quebec, Canada",Canada,Southampton,"Montreal, Quebec, Canada",0,1,0,Mr,Other,adults,2,0,0.0,0.0,6.0
"Davidson, Mrs. Orian (née Hays)",27,"Montreal, Quebec, Canada",Canada,Southampton,"Montreal, Quebec, Canada",1,1,1,Mrs,Other,young adults,2,0,3.0,0.0,7.0
"Dick, Mr. Albert Adrian",31,"Calgary, Alberta, Canada",Canada,Southampton,"Calgary, Alberta, Canada
",1,1,1,Mr,Other,adults,2,0,0.0,0.0,6.0
"Dick, Mrs. Vera (née Gillespie)",17,"Calgary, Alberta, Canada",Canada,Southampton,"Calgary, Alberta, Canada
",1,1,1,Mrs,Other,minors,2,0,1.0,0.0,7.0
"Dodge, Dr. Washington",52,"San Francisco, California, US",US,Southampton,"San Francisco, California, US",1,1,1,Dr,US,seniors,3,0,2.0,4.0,2.0
"Dodge, Mrs. Ruth (née Vidaver)",34,"San Francisco, California, US",US,Southampton,"San Francisco, California, US",1,1,1,Mrs,US,adults,3,0,0.0,4.0,7.0
"Dodge, Master Washington, Jr.",4,"San Francisco, California, US",US,Southampton,"San Francisco, California, US",1,1,1,Master,US,minors,3,0,1.0,4.0,4.0
"Douglas, Mr. Walter Donald",50,"Minneapolis, Minnesota, US",US,Cherbourg,"Minneapolis, Minnesota, US",0,1,0,Mr,US,adults,4,0,0.0,4.0,6.0
"Douglas, Mrs. Mahala (née Dutton)",48,"Minneapolis, Minnesota, US",US,Cherbourg,"Minneapolis, Minnesota, US",1,1,1,Mrs,US,adults,4,0,0.0,4.0,7.0
"and maid, Miss Berthe Leroy",27,"Minneapolis, Minnesota, US",US,Cherbourg,"Minneapolis, Minnesota, US",1,1,1,Miss,US,young adults,4,0,3.0,4.0,5.0
"Douglas, Mrs. Mary Hélène (née Baxter)",27,"Montreal, Quebec, Canada",Canada,Cherbourg,"Montreal, Quebec, Canada",1,1,1,Mrs,Other,young adults,4,0,3.0,0.0,7.0
"Duff Gordon, Sir Cosmo Edmund",49,"London, England, UK",UK,Cherbourg,New York City,1,1,1,Mr,UK,adults,3,0,0.0,3.0,6.0
"Duff Gordon, Lucy Christiana, Lady (née Sutherland)",48,"London, England, UK",UK,Cherbourg,New York City,1,1,1,Mrs,UK,adults,3,0,0.0,3.0,7.0
"and secretary, Miss Laura Mabel Francatelli",31,"London, England, UK",UK,Cherbourg,New York City,1,1,1,Miss,UK,adults,3,0,0.0,3.0,5.0
"Dulles, Mr. William Crothers",39,"Philadelphia, Pennsylvania, US",US,Cherbourg,"Philadelphia, Pennsylvania, US",0,1,0,Mr,US,adults,1,1,0.0,4.0,6.0
"Eustis, Miss Elizabeth Mussey",54,"Brookline, Massachusetts, US",US,Cherbourg,"Brookline, Massachusetts, US",1,1,1,Miss,US,seniors,1,1,2.0,4.0,5.0
"Evans, Miss Edith Corse",36,New York City,US,Cherbourg,New York City,0,1,0,Miss,US,adults,1,1,0.0,4.0,5.0
"Flegenheim, Mrs. Antoinette ""Tony"" (née Wendt)",48,New York City,US,Cherbourg,New York City,1,1,1,Mrs,US,adults,1,1,0.0,4.0,7.0
"Flynn, Mr. John Irwin",36,"Brooklyn, New York, US",US,Southampton,"Brooklyn, New York, US",1,1,1,Mr,US,adults,1,1,0.0,4.0,6.0
"Foreman, Mr. Benjamin Laventall",30,New York City,US,Southampton,New York City,0,1,0,Mr,US,young adults,1,1,3.0,4.0,6.0
"Fortune, Mr. Mark",64,"Winnipeg, Manitoba, Canada",Canada,Southampton,"Winnipeg, Manitoba, Canada",0,1,0,Mr,Other,seniors,6,0,2.0,0.0,6.0
"Fortune, Mrs. Mary (née McDougald)",60,"Winnipeg, Manitoba, Canada",Canada,Southampton,"Winnipeg, Manitoba, Canada",1,1,1,Mrs,Other,seniors,6,0,2.0,0.0,7.0
"Fortune, Miss Ethel Flora",28,"Winnipeg, Manitoba, Canada",Canada,Southampton,"Winnipeg, Manitoba, Canada",1,1,1,Miss,Other,young adults,6,0,3.0,0.0,5.0
"Fortune, Miss Alice Elizabeth",24,"Winnipeg, Manitoba, Canada",Canada,Southampton,"Winnipeg, Manitoba, Canada",1,1,1,Miss,Other,young adults,6,0,3.0,0.0,5.0
"Fortune, Miss Mabel Helen",23,"Winnipeg, Manitoba, Canada",Canada,Southampton,"Winnipeg, Manitoba, Canada",1,1,1,Miss,Other,young adults,6,0,3.0,0.0,5.0
"Fortune, Mr. Charles Alexander",19,"Winnipeg, Manitoba, Canada",Canada,Southampton,"Winnipeg, Manitoba, Canada",0,1,0,Mr,Other,young adults,6,0,3.0,0.0,6.0
"Franklin, Mr. Thomas Parnham",37,"London, England, UK",UK,Southampton,"New York, New York, US",0,1,0,Mr,UK,adults,1,1,0.0,3.0,6.0
"Frauenthal, Dr. Henry William",49,"London, England, UK",UK,Southampton,"New York, New York, US",1,1,1,Dr,UK,adults,3,0,0.0,3.0,2.0
"Frauenthal, Mrs. Clara (née Heinsheimer)",42,"London, England, UK",UK,Southampton,"New York, New York, US",1,1,1,Mrs,UK,adults,3,0,0.0,3.0,7.0
"Frauenthal, Mr. Isaac Gerald",43,"London, England, UK",UK,Southampton,"New York, New York, US",1,1,1,Mr,UK,adults,3,0,0.0,3.0,6.0
"Frölicher, Mr. Maximilian Josef",60,"Zürich, Switzerland",Switzerland,"Cherbourg
","New York, New York, US",1,1,1,Mr,Other,seniors,2,0,2.0,0.0,6.0
"Frölicher, Mrs. Margaretha Emerentia (née Stehli)",48,"Zürich, Switzerland",Switzerland,"Cherbourg
","New York, New York, US",1,1,1,Mrs,Other,adults,2,0,0.0,0.0,7.0
"Frölicher-Stehli, Miss Hedwig Margaritha",22,"Zürich, Switzerland",Switzerland,"Cherbourg
","New York, New York, US",1,1,1,Miss,Other,young adults,1,1,3.0,0.0,5.0
"Futrelle, Mr. Jacques Heath",37,"Scituate, Massachusetts, US",US,Southampton,"Scituate, Massachusetts, US",0,1,0,Mr,US,adults,2,0,0.0,4.0,6.0
"Futrelle, Mrs. Lily May (née Peel)",35,"Scituate, Massachusetts, US",US,Southampton,"Scituate, Massachusetts, US",1,1,1,Mrs,US,adults,2,0,0.0,4.0,7.0
"Gee, Mr. Arthur H.",47,"St Annes-on-Sea, Lancashire, England, UK",UK,Southampton,"Mexico City, Mexico",0,1,0,Mr,UK,adults,1,1,0.0,3.0,6.0
"Gibson, Mrs. Pauline Caroline (née Boeson)",44,New York City,US,Cherbourg,New York City,1,1,1,Mrs,US,adults,2,0,0.0,4.0,7.0
"Gibson, Miss Dorothy Winifred",22,New York City,US,Cherbourg,New York City,1,1,1,Miss,US,young adults,2,0,3.0,4.0,5.0
"Goldenberg, Mr. Samuel L.",47,"Paris, France",France,Cherbourg,New York City,1,1,1,Mr,Other,adults,2,0,0.0,0.0,6.0
"Goldenberg, Mrs. Nella (née Wiggins)",40,"Paris, France",France,Cherbourg,New York City,1,1,1,Mrs,Other,adults,2,0,0.0,0.0,7.0
"Goldschmidt, Mr. George B.",71,"New York, New York, US",US,Cherbourg,"New York, New York, US",0,1,0,Mr,US,seniors,1,1,2.0,4.0,6.0
"Gracie IV, Colonel Archibald",53,"Washington, D.C., US",US,Southampton,"Washington, D.C., US",1,1,1,Colonel,US,seniors,1,1,2.0,4.0,1.0
"Graham, Mr. George Edward",38,"Winnipeg, Manitoba, Canada",Canada,Southampton,"Winnipeg, Manitoba, Canada",0,1,0,Mr,Other,adults,4,0,0.0,0.0,6.0
"Graham, Mrs. Edith Ware (née Junkins)",59,"Greenwich, Connecticut, US",US,Southampton,"Greenwich, Connecticut, US",1,1,1,Mrs,US,seniors,4,0,2.0,4.0,7.0
"Graham, Miss Margaret Edith",19,"Greenwich, Connecticut, US",US,Southampton,"Greenwich, Connecticut, US",1,1,1,Miss,US,young adults,4,0,3.0,4.0,5.0
"and governess, Miss Elizabeth Weed Shutes",40,"Greenwich, Connecticut, US",US,Southampton,"Greenwich, Connecticut, US",1,1,1,Miss,US,adults,4,0,0.0,4.0,5.0
"Greenfield, Mrs. Blanche (née Strouse)",45,New York City,US,Cherbourg,New York City,1,1,1,Mrs,US,adults,2,0,0.0,4.0,7.0
"Greenfield, Mr. William Bertram",23,New York City,US,Cherbourg,New York City,1,1,1,Mr,US,young adults,2,0,3.0,4.0,6.0
"Guggenheim, Mr. Benjamin",46,"Paris, France",France,Cherbourg,New York City,0,1,0,Mr,Other,adults,3,0,0.0,0.0,6.0
"and valet, Mr. Victor Giglio",24,"Paris, France",France,Cherbourg,New York City,0,1,0,Mr,Other,young adults,3,0,3.0,0.0,6.0
"and chauffeur, Mr. René Pernot[71]",39,"Paris, France",France,Cherbourg,New York City,0,1,0,Mr,Other,adults,3,0,0.0,0.0,6.0
"Harder, Mr. George Achilles",25,New York City,US,Cherbourg,New York City,1,1,1,Mr,US,young adults,2,0,3.0,4.0,6.0
"Harder, Mrs. Dorothy (née Annan)",21,New York City,US,Cherbourg,New York City,1,1,1,Mrs,US,young adults,2,0,3.0,4.0,7.0
"Harper, Mr. Henry Sleeper",48,New York City,US,Cherbourg,New York City,1,1,1,Mr,US,adults,3,0,0.0,4.0,6.0
"and dragoman, Mr. Hammad Hassab",27,"Cairo, Egypt
",Egypt,Cherbourg,New York City,1,1,1,Mr,Other,young adults,3,0,3.0,0.0,6.0
"Harper, Mrs. Myra Raymond (née Haxtun)",49,"New York City
",US,Cherbourg,New York City,1,1,1,Mrs,US,adults,3,0,0.0,4.0,7.0
"Harris, Mr. Henry Birkhardt",45,New York City,US,Southampton,New York City,0,1,0,Mr,US,adults,2,0,0.0,4.0,6.0
"Harris, Mrs. Irene ""Renee"" (née Wallach)",35,New York City,US,Southampton,New York City,1,1,1,Mrs,US,adults,2,0,0.0,4.0,7.0
"Hawksford, Mr. Walter James",45,"Kingston, Surrey, England, UK",UK,Southampton,New York City,1,1,1,Mr,UK,adults,1,1,0.0,3.0,6.0
"Hays, Mr. Charles Melville",55,"Montreal, Quebec, Canada",Canada,Southampton,"Montreal, Quebec, Canada",0,1,0,Mr,Other,seniors,5,0,2.0,0.0,6.0
"and clerk, Mr. Vivian Ponsonby Payne",22,"Montreal, Quebec, Canada",Canada,Southampton,"Montreal, Quebec, Canada",0,1,0,Mr,Other,young adults,5,0,3.0,0.0,6.0
"Hays, Mrs. Clara Jennings (née Grigg)",52,"Montreal, Quebec, Canada",Canada,Southampton,"Montreal, Quebec, Canada",1,1,1,Mrs,Other,seniors,5,0,2.0,0.0,7.0
"and maid, Miss Mary Anne Perreault",33,"Montreal, Quebec, Canada",Canada,Southampton,"Montreal, Quebec, Canada",1,1,1,Miss,Other,adults,5,0,0.0,0.0,5.0
"Hays, Miss Margaret Bechstein",24,New York City,US,Cherbourg,New York City,1,1,1,Miss,US,young adults,5,0,3.0,4.0,5.0
"Head, Mr. Christopher",42,"Chelsea, London, England, UK",UK,Southampton,New York City,0,1,0,Mr,UK,adults,1,1,0.0,3.0,6.0
"Hilliard, Mr. Herbert Henry",44,"Brighton, Massachusetts, US",US,Southampton,"Brighton, Massachusetts, US",0,1,0,Mr,US,adults,1,1,0.0,4.0,6.0
"Hipkins, Mr. William Edward",55,"Birmingham, West Midlands, England, UK",UK,Southampton,New York City,0,1,0,Mr,UK,seniors,1,1,2.0,3.0,6.0
"Hippach, Mrs. Ida Sophia (née Fischer)",44,"Chicago, Illinois, US",US,Cherbourg,"Chicago, Illinois, US",1,1,1,Mrs,US,adults,2,0,0.0,4.0,7.0
"Hippach, Miss Jean Gertrude",17,"Chicago, Illinois, US",US,Cherbourg,"Chicago, Illinois, US",1,1,1,Miss,US,minors,2,0,1.0,4.0,5.0
"Hogeboom, Mrs. Anna Louisa (née Andrews)",51,"Hudson, New York, US",US,Cherbourg,"Hudson, New York, US",1,1,1,Mrs,US,seniors,1,1,2.0,4.0,7.0
"Holverson, Mr. Alexander Oskar",42,New York City,US,Southampton,New York City,0,1,0,Mr,US,adults,2,0,0.0,4.0,6.0
